,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_exponent_n_steps,params_gae_lambda,params_gamma,params_lr,params_max_grad_norm,params_net_arch,params_ortho_init,user_attrs_gae_lambda_,user_attrs_gamma_,user_attrs_n_steps,state
19,19,62.33333206176758,2021-04-09 12:29:39.827386,2021-04-09 12:30:22.666100,0 days 00:00:42.838714000,tanh,3.169794232199317e-05,9,0.08664025233894503,0.0007895394666759932,0.0014271877117296142,0.32855836048645376,tiny,False,0.913359747661055,0.999210460533324,512,PRUNED
20,20,127.66666412353516,2021-04-09 12:30:11.018167,2021-04-09 12:30:57.619315,0 days 00:00:46.601148000,tanh,3.515352710513474e-07,7,0.09742705457483115,0.0006981089341494396,0.0001432458969998849,1.6220264163879619,tiny,True,0.9025729454251689,0.9993018910658505,128,PRUNED
21,21,58.33333206176758,2021-04-09 12:30:20.169511,2021-04-09 12:31:04.449643,0 days 00:00:44.280132000,tanh,6.81292689804196e-07,10,0.003453564110084151,0.0008524549054755975,0.00010970809448688545,2.0899795652960904,tiny,True,0.9965464358899159,0.9991475450945244,1024,PRUNED
22,22,118.33333587646484,2021-04-09 12:30:22.667986,2021-04-09 12:31:13.268630,0 days 00:00:50.600644000,relu,4.528434652539751e-07,10,0.002675261736931645,0.0016072990340529724,7.258534862903232e-05,1.8578084750937003,small,True,0.9973247382630683,0.998392700965947,1024,PRUNED
23,23,9.666666984558105,2021-04-09 12:30:57.621154,2021-04-09 12:31:43.611043,0 days 00:00:45.989889000,tanh,5.893075601458563e-07,10,0.010123688087678934,0.0027761664051105975,0.0002536543690020134,2.347146524890807,tiny,False,0.9898763119123211,0.9972238335948894,1024,PRUNED
24,24,500.0,2021-04-09 12:31:04.453827,2021-04-09 12:32:42.468191,0 days 00:01:38.014364000,tanh,1.7671418864185504e-05,7,0.01177665300173922,0.002980420419543089,0.0025194809714462404,3.1158425444621023,tiny,False,0.9882233469982608,0.997019579580457,128,COMPLETE
25,25,190.6666717529297,2021-04-09 12:31:13.271535,2021-04-09 12:32:46.963035,0 days 00:01:33.691500000,tanh,1.1400612728595534e-05,7,0.010905248979254862,0.004589509580478266,0.002914633594582182,3.156019372302734,tiny,False,0.9890947510207452,0.9954104904195218,128,PRUNED
26,26,178.0,2021-04-09 12:31:43.612981,2021-04-09 12:32:29.742357,0 days 00:00:46.129376000,tanh,2.1396639180728124e-05,7,0.025812938821549482,0.006098332534775507,0.0027306962028851123,3.2782237494134145,tiny,False,0.9741870611784506,0.9939016674652245,128,PRUNED
27,27,500.0,2021-04-09 12:32:29.744345,2021-04-09 12:34:01.373409,0 days 00:01:31.629064000,tanh,9.402205367820265e-05,9,0.011800310414050559,0.003916876024603084,0.0038081325832466455,3.3740345813939245,tiny,False,0.9881996895859494,0.9960831239753969,512,COMPLETE
28,28,130.0,2021-04-09 12:32:42.470656,2021-04-09 12:33:28.077136,0 days 00:00:45.606480000,tanh,8.365666220803174e-05,6,0.012345720489973561,0.013881641056889833,0.00036230444589990145,3.0573024338518033,tiny,False,0.9876542795100265,0.9861183589431102,64,PRUNED
29,29,130.0,2021-04-09 12:32:46.964885,2021-04-09 12:33:32.570096,0 days 00:00:45.605211000,tanh,0.00010047905389489675,6,0.013182981179319545,0.00036033019876033085,0.00035139349708034165,2.6683383513430456,tiny,False,0.9868170188206804,0.9996396698012396,64,PRUNED
30,30,55.66666793823242,2021-04-09 12:33:28.078995,2021-04-09 12:34:12.636958,0 days 00:00:44.557963000,tanh,0.00021233524342802775,9,0.005156136254256769,0.0018202296409915043,3.4061721584874045e-05,1.4368297314357628,tiny,False,0.9948438637457432,0.9981797703590085,512,PRUNED
31,31,63.66666793823242,2021-04-09 12:33:32.572307,2021-04-09 12:34:17.213506,0 days 00:00:44.641199000,relu,0.001334798161243977,9,0.006555914460499795,0.0022006038268019357,0.0010422352771702716,3.7280869981955362,tiny,False,0.9934440855395003,0.997799396173198,512,PRUNED
32,32,40.33333206176758,2021-04-09 12:34:01.376120,2021-04-09 12:34:45.141262,0 days 00:00:43.765142000,tanh,0.0013565037308000084,9,0.0037634342028801623,0.001742931863604073,0.03811430946164538,3.722552857383103,tiny,False,0.9962365657971198,0.9982570681363959,512,PRUNED
33,33,99.0,2021-04-09 12:34:12.639321,2021-04-09 12:34:58.058616,0 days 00:00:45.419295000,tanh,0.0005200571029473558,9,0.007554209450530278,0.008460025133950657,0.0010098007397543601,3.7024322942030508,tiny,False,0.9924457905494697,0.9915399748660494,512,PRUNED
34,34,9.666666984558105,2021-04-09 12:34:17.215721,2021-04-09 12:35:02.652792,0 days 00:00:45.437071000,tanh,1.5469000387971912e-05,8,0.02502600015277524,0.005903899449404163,0.04092111464844695,3.5835447651369337,tiny,False,0.9749739998472248,0.9940961005505958,256,PRUNED
35,35,500.0,2021-04-09 12:34:45.143381,2021-04-09 12:36:23.890455,0 days 00:01:38.747074000,tanh,2.151321552511372e-05,8,0.025239881783579228,0.007032760160863579,0.005975615648142174,2.2889543926612483,tiny,False,0.9747601182164207,0.9929672398391364,256,COMPLETE
36,36,141.6666717529297,2021-04-09 12:34:58.062668,2021-04-09 12:36:33.914735,0 days 00:01:35.852067000,tanh,2.0221374333680747e-05,8,0.02403988069039666,0.014704527006256926,0.00520005129362155,2.243098624468783,tiny,False,0.9759601193096034,0.9852954729937431,256,COMPLETE
37,37,180.3333282470703,2021-04-09 12:35:02.654328,2021-04-09 12:35:57.139020,0 days 00:00:54.484692000,relu,1.257565863563368e-06,8,0.058281286807703045,0.014211727277021274,0.004956346176012793,2.231337624381779,small,True,0.9417187131922969,0.9857882727229788,256,PRUNED
38,38,92.33333587646484,2021-04-09 12:35:57.140839,2021-04-09 12:36:46.539475,0 days 00:00:49.398636000,tanh,0.006179448235901171,5,0.025774061176095042,0.004063910601382203,0.00055448900238832,2.6438842872985386,tiny,False,0.974225938823905,0.9959360893986178,32,PRUNED
39,39,500.0,2021-04-09 12:36:23.894645,2021-04-09 12:37:36.317734,0 days 00:01:12.423089000,tanh,3.164995530120248e-05,7,0.025867891973639118,0.004628585832725005,0.005203312261366262,2.6794612749070965,tiny,False,0.9741321080263609,0.995371414167275,128,COMPLETE
40,40,9.666666984558105,2021-04-09 12:36:33.918756,2021-04-09 12:37:22.190595,0 days 00:00:48.271839000,tanh,0.004994239595627126,7,0.01496255532956409,0.004033290618733496,0.07358965571368375,2.758841068763948,tiny,False,0.9850374446704359,0.9959667093812665,128,PRUNED
41,41,9.0,2021-04-09 12:36:46.541833,2021-04-09 12:37:29.984404,0 days 00:00:43.442571000,tanh,4.468472668704476e-05,7,0.014608989584059016,0.008797680163493995,0.09505168111220666,4.22350691704634,tiny,False,0.985391010415941,0.991202319836506,128,PRUNED
